date,price_usd,active_addresses,tx_count,hash_rate,supply_current,fee_usd,difficulty,miner_revenue_usd,estimated_transaction_volume_usd
2015-01-01,314.77647194623,145765.0,60177.0,333345.017260144,13675614.78521033,2989.225321836,40640955016.5765,1519572.47532184,25914595.5476684
2015-01-02,315.942731735827,212932.0,83050.0,333345.017260144,13679739.78521033,4047.3802205366,40640955016.5765,1475784.13022053,41275152.0276008
2015-01-03,285.647309760374,241755.0,81404.0,327284.198764505,13683789.78496462,4357.1315143481,40640955016.5765,1586907.13151435,90356063.08853
2015-01-04,263.334574810053,235011.0,82769.0,347486.927083302,13688089.78496462,7189.9708804911,40640955016.5765,1632202.97088049,82599914.8311755
2015-01-05,275.003851548802,242515.0,95721.0,315162.561773228,13691989.78496462,4615.535489077,40640955016.5765,1202039.03548908,68422951.1150276
2015-01-06,287.549521040327,215554.0,88848.0,319203.107436987,13695939.78496462,4175.14103894,40640955016.5765,1361861.14103894,80774786.2919001
2015-01-07,297.535565166569,204697.0,92569.0,282838.196463153,13699439.78496462,3752.3005946492,40640955016.5765,1052470.30059465,65503921.5606002
2015-01-08,284.342391876096,230454.0,105611.0,296980.106286311,13703114.78496462,5563.3437518274,40640955016.5765,1383767.09375183,99039166.1672055
2015-01-09,292.501114552893,237524.0,100397.0,282838.196463153,13706614.78496462,4461.8883529662,40640955016.5765,1085523.88835297,68712674.598593
2015-01-10,276.230532144944,274443.0,106342.0,296980.106286311,13710289.78496462,5046.4524344234,40640955016.5765,1335502.20243442,62141881.0615877
2015-01-11,268.755515488019,249636.0,89751.0,313142.288941348,13714164.78496462,4095.357433662,40640955016.5765,1225262.60743366,45424269.2594017
2015-01-12,268.617232028054,222808.0,100751.0,291349.141441684,13717714.78496462,14224.8196814512,43971662056.0896,1092944.81968145,56737334.7097411
2015-01-13,224.108117767388,250066.0,98240.0,277602.083462638,13720889.78496462,4793.9339893224,43971662056.0896,1026145.43398932,112551597.354747
2015-01-14,175.637640561075,257446.0,106993.0,316947.260646319,13724514.78496462,3677.16360222,43971662056.0896,930527.16360222,119722807.619213
2015-01-15,212.341011396844,262427.0,119661.0,330062.319707546,13728289.78463702,3164.29221988,43971662056.0896,729864.29221988,58065294.8677467
2015-01-16,207.595204850964,246341.0,104742.0,303832.201585092,13731764.78463702,3691.6918359321,43971662056.0896,954891.941835932,64405414.9775227
2015-01-17,199.824836645237,272389.0,88416.0,301646.358408221,13735214.78463702,2873.836457895,43971662056.0896,762548.336457896,37343333.6853447
2015-01-18,211.132518410286,247184.0,83765.0,334434.006061289,13739039.78463702,3210.0525913377,43971662056.0896,887192.302591338,36349253.1360839
2015-01-19,216.894694915254,255010.0,99008.0,314761.417469448,13742639.78463702,3387.554752611,43971662056.0896,904302.554752611,38040650.9296492
2015-01-20,211.919853886616,234321.0,100182.0,257929.494870797,13745589.78463702,3181.4070568652,43971662056.0896,672812.407056865,45920050.1159413
2015-01-21,227.904210403273,215260.0,93268.0,325690.633353804,13749314.78463701,3251.2106737291,43971662056.0896,925107.460673729,100940117.842297
2015-01-22,233.647382817066,230504.0,95488.0,295088.828877607,13752689.78463701,3368.7669600934,43971662056.0896,907343.516960094,57033004.0398194
2015-01-23,233.132852425482,216750.0,94078.0,271044.553932025,13755789.78463701,3459.1786131851,43971662056.0896,855770.678613185,52856533.2185698
2015-01-24,249.08212390415,201529.0,80633.0,275416.240285767,13758939.78463701,2817.5018099086,43971662056.0896,785746.001809909,44650098.6455622
2015-01-25,254.51794126242,318167.0,85829.0,273230.397108896,13762064.78463701,3665.6945465904,43971662056.0896,857586.694546591,40929628.1632052
2015-01-26,273.952244886032,263343.0,107895.0,277602.083462638,13765239.78463701,4672.9660373528,43971662056.0896,1002878.96603735,115827857.38634
2015-01-27,264.753804500292,249279.0,99265.0,317507.026636064,13768964.78463701,4310.2905074866,43971662056.0896,1300992.04050749,82024077.4228138
2015-01-28,235.735840444185,198841.0,85087.0,336476.453109996,13773064.78463701,3585.5429065344,41272873894.697,1611057.54290654,53573518.6290227
2015-01-29,233.957373465809,217393.0,92284.0,336476.453109996,13777164.78463701,3334.748761816,41272873894.697,1207954.74876182,65083959.8293765
2015-01-30,228.896189947399,193117.0,79736.0,283132.625177924,13780614.78463701,3289.0598092733,41272873894.697,1124241.55980927,57632534.9175185
2015-01-31,217.332156049094,276120.0,86631.0,340579.824489386,13784764.78463701,3439.6718552916,41272873894.697,1195032.17185529,49713027.6803752
2015-02-01,227.111301285798,250290.0,78157.0,318011.28190274,13788639.78463701,2833.53816864,41272873894.697,1082639.78816864,33077366.8544228
2015-02-02,240.092419929866,228409.0,87190.0,326218.024661521,13792614.78463701,3012.9078540834,41272873894.697,1007399.40785408,41847115.8682386
2015-02-03,227.775695791935,241904.0,91378.0,260564.082591277,13795789.78463701,3387.0337802465,41272873894.697,913622.283780247,58193116.9813675
2015-02-04,226.781134132087,228028.0,88890.0,326218.024661521,13799764.78463701,3130.6442753549,41272873894.697,1055456.89427536,50018389.8306304
2015-02-05,217.011151081239,217016.0,87548.0,326218.024661521,13803739.78463701,3108.4584053193,41272873894.697,1085648.70840532,56217016.055574
2015-02-06,222.724969316189,231139.0,84709.0,363148.367076033,13808164.78463699,2937.4936833,41272873894.697,1180053.9936833,46722749.6322087
2015-02-07,228.647127410871,195430.0,85768.0,326218.024661521,13812139.78463699,2956.8013498356,41272873894.697,1098079.80134983,36841070.2058373
2015-02-08,224.035988895383,293810.0,83307.0,270822.511039753,13815439.78463699,2940.305500741,41272873894.697,862815.305500741,36242922.7961028
2015-02-09,220.768493863238,232450.0,104895.0,340604.722619783,13819464.77463699,3836.6585724453,44455415962.3438,1084298.90857245,53763525.4270375
2015-02-10,220.888154295734,227906.0,102102.0,318224.262813905,13823064.77463699,3289.2254629557,44455415962.3438,937991.725462956,45985001.0927883
2015-02-11,219.495859731151,236742.0,98560.0,349162.732809701,13827014.77463699,3438.6763370624,44455415962.3438,973022.676337063,45535581.4117355
