date,price_usd,active_addresses,tx_count,hash_rate,supply_current,fee_usd,difficulty,miner_revenue_usd,estimated_transaction_volume_usd
2015-01-01,315,145765,60177,333345,13675615,2989,40640955017,1519572,25914596
2015-01-02,316,212932,83050,333345,13679740,4047,40640955017,1475784,41275152
2015-01-03,286,241755,81404,327284,13683790,4357,40640955017,1586907,90356063
2015-01-04,263,235011,82769,347487,13688090,7190,40640955017,1632203,82599915
2015-01-05,275,242515,95721,315163,13691990,4616,40640955017,1202039,68422951
2015-01-06,288,215554,88848,319203,13695940,4175,40640955017,1361861,80774786
2015-01-07,298,204697,92569,282838,13699440,3752,40640955017,1052470,65503922
2015-01-08,284,230454,105611,296980,13703115,5563,40640955017,1383767,99039166
2015-01-09,293,237524,100397,282838,13706615,4462,40640955017,1085524,68712675
2015-01-10,276,274443,106342,296980,13710290,5046,40640955017,1335502,62141881
2015-01-11,269,249636,89751,313142,13714165,4095,40640955017,1225263,45424269
2015-01-12,269,222808,100751,291349,13717715,14225,43971662056,1092945,56737335
2015-01-13,224,250066,98240,277602,13720890,4794,43971662056,1026145,112551597
2015-01-14,176,257446,106993,316947,13724515,3677,43971662056,930527,119722808
2015-01-15,212,262427,119661,330062,13728290,3164,43971662056,729864,58065295
2015-01-16,208,246341,104742,303832,13731765,3692,43971662056,954892,64405415
2015-01-17,200,272389,88416,301646,13735215,2874,43971662056,762548,37343334
2015-01-18,211,247184,83765,334434,13739040,3210,43971662056,887192,36349253
2015-01-19,217,255010,99008,314761,13742640,3388,43971662056,904303,38040651
2015-01-20,212,234321,100182,257929,13745590,3181,43971662056,672812,45920050
2015-01-21,228,215260,93268,325691,13749315,3251,43971662056,925107,100940118
2015-01-22,234,230504,95488,295089,13752690,3369,43971662056,907344,57033004
2015-01-23,233,216750,94078,271045,13755790,3459,43971662056,855771,52856533
2015-01-24,249,201529,80633,275416,13758940,2818,43971662056,785746,44650099
2015-01-25,255,318167,85829,273230,13762065,3666,43971662056,857587,40929628
2015-01-26,274,263343,107895,277602,13765240,4673,43971662056,1002879,115827857
2015-01-27,265,249279,99265,317507,13768965,4310,43971662056,1300992,82024077
2015-01-28,236,198841,85087,336476,13773065,3586,41272873895,1611058,53573519
2015-01-29,234,217393,92284,336476,13777165,3335,41272873895,1207955,65083960
2015-01-30,229,193117,79736,283133,13780615,3289,41272873895,1124242,57632535
2015-01-31,217,276120,86631,340580,13784765,3440,41272873895,1195032,49713028
2015-02-01,227,250290,78157,318011,13788640,2834,41272873895,1082640,33077367
2015-02-02,240,228409,87190,326218,13792615,3013,41272873895,1007399,41847116
2015-02-03,228,241904,91378,260564,13795790,3387,41272873895,913622,58193117
2015-02-04,227,228028,88890,326218,13799765,3131,41272873895,1055457,50018390
2015-02-05,217,217016,87548,326218,13803740,3108,41272873895,1085649,56217016
2015-02-06,223,231139,84709,363148,13808165,2937,41272873895,1180054,46722750
2015-02-07,229,195430,85768,326218,13812140,2957,41272873895,1098080,36841070
2015-02-08,224,293810,83307,270823,13815440,2940,41272873895,862815,36242923
2015-02-09,221,232450,104895,340605,13819465,3837,44455415962,1084299,53763525
2015-02-10,221,227906,102102,318224,13823065,3289,44455415962,937992,45985001
2015-02-11,219,236742,98560,349163,13827015,3439,44455415962,973023,45535581
2015-02-12,223,232114,88258,262977,13829990,2883,44455415962,700113,34026161
2015-02-13,237,312759,113789,322644,13833640,4087,44455415962,871174,55861345
2015-02-14,258,260312,100479,353583,13837640,3810,44455415962,1034325,45738450
2015-02-15,234,342433,82100,309385,13841140,3827,44455415962,1098202,50230292
2015-02-16,235,261678,103452,346953,13845065,3930,44455415962,1063595,42031494
2015-02-17,244,272213,104074,329274,13848790,4154,44455415962,1076992,44152335
2015-02-18,236,246403,103957,369052,13852965,4154,44455415962,1187678,52588911
2015-02-19,242,213440,93715,366842,13857115,3595,44455415962,1155179,43355706
2015-02-20,246,249692,99228,349163,13861065,4154,44455415962,1090409,43621202
2015-02-21,246,271126,88178,313804,13864615,3415,44455415962,961957,32303017
2015-02-22,237,273269,84628,334358,13868390,3194,44455415962,1027781,28064501
2015-02-23,239,253650,104512,329538,13871940,3797,46684376317,1030310,43288568
2015-02-24,240,232088,103153,299369,13875165,3581,46684376317,833758,33260051
2015-02-25,238,226574,103255,368990,13879140,4215,46684376317,1173923,54038819
2015-02-26,237,230216,101222,348104,13882890,3918,46684376317,1039088,38170855
2015-02-27,255,247223,103585,352745,13886690,3876,46684376317,1068531,60598285
2015-02-28,255,281000,87971,329538,13890240,4061,46684376317,1138556,36211668
2015-03-01,261,272256,87940,324897,13893740,3685,46684376317,979660,36199403
2015-03-02,276,286476,107024,366669,13897690,4756,46684376317,1277153,61754675
2015-03-03,283,266412,110488,366669,13901640,4988,46684376317,1356751,86724789
2015-03-04,273,240738,98822,324897,13905140,4396,46684376317,1150223,70049096
2015-03-05,276,249736,97524,306331,13908440,5029,46684376317,1112275,74241116
2015-03-06,273,235826,93661,343463,13912140,4686,46684376317,1069815,56320379
2015-03-07,276,254894,91134,324897,13915640,3978,46684376317,1093338,68923765
2015-03-08,275,276241,90034,363358,13919540,4291,46684376317,1263094,117770034
2015-03-09,290,260611,106792,339500,13923140,4954,47427554951,1228704,82520729
2015-03-10,292,242733,101987,358361,13926940,4865,47427554951,1339461,87819545
2015-03-11,297,259958,103305,363076,13930790,5494,47427554951,1368494,67024015
2015-03-12,296,237787,93481,308850,13934065,4450,47427554951,1094308,64543506
2015-03-13,286,243732,97080,344215,13937715,4202,47427554951,1124822,59802107
2015-03-14,284,261423,91210,308850,13940990,3758,47427554951,1051243,39010099
2015-03-15,287,254579,83260,337142,13944565,3733,47427554951,1111368,29694613
2015-03-16,291,260952,105590,327711,13948040,4540,47427554951,1044154,46055269
2015-03-17,285,226597,99700,301777,13951240,4353,47427554951,1118081,48642260
